iter	Passed	Remaining
0	141	141793
1	144	72059
2	146	48812
3	149	37273
4	152	30385
5	155	25805
6	158	22543
7	162	20093
8	164	18152
9	167	16554
10	169	15279
11	174	14338
12	177	13445
13	179	12620
14	181	11895
15	182	11245
16	185	10701
17	186	10197
18	188	9723
19	189	9280
20	190	8883
21	191	8526
22	192	8195
23	194	7891
24	195	7610
25	197	7387
26	199	7171
27	200	6960
28	201	6750
29	202	6554
30	203	6376
31	205	6204
32	206	6043
33	207	5891
34	208	5752
35	210	5648
36	212	5534
37	214	5426
38	215	5310
39	216	5199
40	217	5093
41	218	4994
42	220	4901
43	221	4810
44	223	4736
45	225	4675
46	226	4597
47	227	4518
48	228	4443
49	230	4374
50	231	4307
51	232	4241
52	233	4176
53	234	4114
54	238	4089
55	239	4038
56	240	3984
57	242	3937
58	243	3887
59	244	3837
60	246	3791
61	247	3751
62	250	3726
63	252	3689
64	253	3647
65	254	3605
66	255	3562
67	256	3514
68	257	3475
69	258	3439
70	260	3402
71	262	3387
72	264	3357
73	265	3322
74	266	3288
75	267	3255
76	268	3222
77	270	3194
78	271	3163
79	272	3133
80	273	3103
81	277	3105
82	279	3085
83	280	3058
84	281	3027
85	282	3001
86	283	2972
87	284	2947
88	285	2922
89	286	2901
90	304	3043
91	308	3043
92	310	3028
93	312	3011
94	314	2992
95	315	2969
96	316	2946
97	317	2926
98	319	2906
99	322	2905
100	324	2890
101	325	2866
102	327	2848
103	328	2829
104	329	2811
105	332	2800
106	334	2791
107	336	2775
108	337	2757
109	338	2739
110	339	2721
111	341	2704
112	342	2687
113	344	2675
114	345	2657
115	346	2639
116	348	2628
117	349	2612
118	350	2593
119	351	2577
120	352	2562
121	354	2547
122	354	2528
123	356	2515
124	357	2503
125	359	2491
126	360	2477
127	361	2460
128	362	2445
129	363	2431
130	364	2419
131	365	2405
132	366	2392
133	368	2379
134	370	2370
135	372	2363
136	373	2352
137	374	2338
138	375	2325
139	376	2313
140	377	2302
141	379	2290
142	380	2278
143	381	2267
144	384	2265
145	385	2256
146	387	2246
147	388	2235
148	389	2225
149	390	2214
150	391	2203
151	392	2192
152	394	2183
153	396	2176
154	397	2169
155	399	2160
156	400	2150
157	401	2140
158	402	2130
159	403	2120
160	404	2110
161	406	2101
162	407	2092
163	408	2083
164	410	2077
165	411	2069
166	413	2062
167	414	2053
168	415	2044
169	416	2035
170	418	2027
171	419	2018
172	420	2009
173	421	2000
174	423	1994
175	424	1987
176	425	1980
177	427	1972
178	428	1964
179	429	1958
180	430	1948
181	431	1940
182	432	1932
183	433	1924
184	435	1918
185	437	1913
186	438	1906
187	439	1899
188	441	1893
189	442	1885
190	443	1878
191	444	1870
192	445	1863
193	446	1857
194	448	1849
195	449	1845
196	451	1840
197	452	1834
198	453	1827
199	455	1820
200	456	1813
201	457	1806
202	458	1800
203	459	1793
204	460	1786
205	462	1783
206	464	1777
207	465	1772
208	466	1766
209	468	1761
210	469	1754
211	470	1748
212	471	1742
213	472	1736
214	474	1730
215	475	1726
216	476	1721
217	478	1716
218	479	1710
219	480	1704
220	481	1698
221	482	1692
222	484	1686
223	485	1680
224	486	1674
225	487	1669
226	489	1666
227	490	1661
228	491	1656
229	493	1651
230	494	1646
231	495	1640
232	496	1635
233	497	1630
234	499	1624
235	500	1619
236	501	1615
237	503	1612
238	505	1608
239	506	1602
240	507	1598
241	508	1592
242	509	1587
243	510	1582
244	511	1577
245	513	1572
246	514	1568
247	516	1566
248	518	1562
249	519	1557
250	520	1552
251	521	1547
252	522	1542
253	523	1537
254	524	1533
255	525	1528
256	527	1523
257	528	1521
258	530	1517
259	531	1513
260	532	1508
261	533	1503
262	535	1499
263	536	1495
264	537	1490
265	538	1485
266	539	1481
267	542	1481
268	543	1477
269	545	1474
270	546	1469
271	547	1465
272	548	1460
273	549	1456
274	550	1452
275	551	1447
276	553	1443
277	554	1441
278	556	1438
